"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jul-2022","    15703.70","    15793.95","    15511.05","    15752.05","      364090131","        25891.94"
"04-Jul-2022","    15710.50","    15852.35","    15661.80","    15835.35","-","-"
"05-Jul-2022","    15909.15","    16025.75","    15785.45","    15810.85","      254164463","        19129.60"
"06-Jul-2022","    15818.20","    16011.35","    15800.90","    15989.80","      288375300","        22836.77"
"07-Jul-2022","    16113.75","    16150.50","    16045.95","    16132.90","      264615218","        21465.33"
"08-Jul-2022","    16273.65","    16275.50","    16157.90","    16220.60","      281102369","        20990.69"
"11-Jul-2022","    16136.15","    16248.55","    16115.50","    16216.00","      255915072","        20240.69"
"12-Jul-2022","    16126.20","    16158.75","    16031.15","    16058.30","      208648707","        16042.52"
"13-Jul-2022","    16128.20","    16140.00","    15950.15","    15966.65","      233264100","        19649.66"
"14-Jul-2022","    16018.85","    16070.85","    15858.20","    15938.65","      228603433","        18858.83"
"15-Jul-2022","    16010.80","    16066.95","    15927.30","    16049.20","      205768079","        17031.43"
